overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	overlapRoundSN	res.RT	fit.RT
0.05	a pedophile	a father	54	elaborate	1	93	1	burntHouse	simpleChoice	k	Right Item	6.95463886488099	N/A	-1	0.967479838709677	0.010670087262182	0.0650403225806451	-1	1	FALSE	-0.934959677419355	1	0.05	-0.0403447251084854	6.99498358998947
0.05	a judge	a pedophile	54	elaborate	1	59	1	counseling	simpleChoice	k	Right Item	7.61775957660851	N/A	-1	0.952471774193548	0.0183049591011055	0.0950564516129031	1	0	TRUE	0.904943548387097	0	0.05	0.56919814443623	7.04856143217228
0.05	a pedophile	an adult	54	elaborate	1	50	1	surgery	simpleChoice	k	Right Item	7.39079852173568	N/A	-1	0.0393943089430894	0.0172001772453226	0.0787886178861789	-1	1	FALSE	-0.921211382113821	1	0.05	0.327986155991694	7.06281236574398
0.05	a rapist	a mother	54	elaborate	1	32	1	burntHouse	simpleChoice	k	Right Item	6.83410873881384	N/A	-1	0.970038	0.0103945467723515	0.0599240000000001	-1	1	FALSE	-0.940076	1	0.05	-0.25729199086284	7.09140072967668
0.05	a soldier	a rapist	54	elaborate	1	9	1	surgery	simpleChoice	d	Left Item	6.85751406254539	N/A	-1	0.0390866141732283	0.0170966232493728	0.0781732283464567	1	1	TRUE	0.921826771653543	1	0.05	-0.270584704604153	7.12809876714954
0.05	a rapist	a father	54	elaborate	1	81	1	surgery	simpleChoice	k	Right Item	7.20563517641036	N/A	-1	0.961657370517928	0.0116384162759155	0.0766852589641434	-1	1	FALSE	-0.923314741035857	1	0.05	0.191788423442648	7.01384675296772
0.05	a father	a pedophile	54	elaborate	1	34	1	hearingAids	simpleChoice	d	Left Item	6.98007594056176	N/A	-1	0.967479838709677	0.010670087262182	0.0650403225806451	1	1	TRUE	0.934959677419355	1	0.05	-0.108142598312798	7.08821853887456
0.05	a rapist	a mother	54	elaborate	1	35	1	paralysis	simpleChoice	k	Right Item	6.880384082186	N/A	-1	0.970038	0.0103945467723515	0.0599240000000001	-1	1	FALSE	-0.940076	1	0.05	-0.206243896817932	7.08662797900394
0.05	a teacher	a pedophile	54	elaborate	1	77	1	legalFees	simpleChoice	d	Left Item	6.54678541076052	N/A	-1	0.037125	0.0115989117000102	0.07425	1	1	TRUE	0.92575	1	0.05	-0.473360360372935	7.02014577113346
0.05	an elderly person	a pedophile	54	elaborate	1	4	1	bucketList	simpleChoice	d	Left Item	7.1770187659099	N/A	-1	0.0386942148760331	0.0167188846207552	0.0773884297520662	1	1	TRUE	0.922611570247934	1	0.05	0.040917068170585	7.13610169773932
0.05	an olympian	a pedophile	54	elaborate	1	84	1	surgery	simpleChoice	d	Left Item	6.92165818415113	N/A	-1	0.0459279661016949	0.0186249899499458	0.0918559322033898	1	1	TRUE	0.90814406779661	1	0.05	-0.0874680145728188	7.00912619872395
0.15	a mother	a thief	54	elaborate	1	94	1	physicalTherapy	simpleChoice	d	Left Item	6.84587987526405	N/A	-1	0.944625514403292	0.013986391556072	0.110748971193416	1	1	TRUE	0.889251028806584	1	0.15	-0.147534076298943	6.99341395156299
0.15	a terrorist	a judge	54	elaborate	1	83	1	counseling	simpleChoice	k	Right Item	7.02908756414966	N/A	-1	0.938693277310924	0.02206874779007	0.122613445378151	-1	1	FALSE	-0.877386554621849	1	0.15	0.0183882004602518	7.01069936368941
0.15	a pedophile	a celebrity	54	elaborate	1	39	1	hearingAids	simpleChoice	k	Right Item	7.13169851046691	N/A	-1	0.906931623931624	0.0253602619704029	0.186136752136752	-1	1	FALSE	-0.813863247863248	1	0.15	0.0514292026115371	7.08026930785537
0.15	an adult	a rapist	54	elaborate	1	7	1	surgery	simpleChoice	d	Left Item	6.92362862813843	N/A	-1	0.050872	0.019218974608053	0.101744	1	1	TRUE	0.898256	1	0.15	-0.207670233676511	7.13129886181494
0.15	an assassin	a teacher	54	elaborate	1	90	1	counseling	simpleChoice	k	Right Item	6.77308037565554	N/A	-1	0.91070564516129	0.0181737180255683	0.178588709677419	-1	1	FALSE	-0.821411290322581	1	0.15	-0.226614243716861	6.9996946193724
0.15	a teacher	an assassin	54	elaborate	1	23	1	paralysis	simpleChoice	d	Left Item	6.79234442747081	N/A	-1	0.91070564516129	0.0181737180255683	0.178588709677419	1	1	TRUE	0.821411290322581	1	0.15	-0.313393849193501	7.10573827666431
0.15	an assassin	an elderly person	54	elaborate	1	68	1	surgery	simpleChoice	k	Right Item	6.87212810133899	N/A	-1	0.0856393442622951	0.0251843995334413	0.17127868852459	-1	1	FALSE	-0.82872131147541	1	0.15	-0.162211151969641	7.03433925330863
0.15	a gang member	a mother	54	elaborate	1	61	1	hearingAids	simpleChoice	k	Right Item	7.17395831975679	N/A	-1	0.0853477366255144	0.0167997810245133	0.170695473251029	-1	1	FALSE	-0.829304526748971	1	0.15	0.128559854706621	7.04539846505017
0.15	an assassin	a mentor	54	elaborate	1	51	1	physicalTherapy	simpleChoice	k	Right Item	7.05272104923232	N/A	-1	0.911748031496063	0.0239452741424966	0.176503937007874	-1	1	FALSE	-0.823496062992126	1	0.15	-0.00850645765592706	7.06122750688825
0.25	a rapist	a celebrity	54	elaborate	1	38	1	bucketList	simpleChoice	k	Right Item	6.67456139181443	N/A	-1	0.891172268907563	0.0272355832867098	0.217655462184874	-1	1	FALSE	-0.782344537815126	1	0.25	-0.407297048738142	7.08185844055257
0.25	an assassin	a judge	54	elaborate	1	95	1	legalFees	simpleChoice	k	Right Item	7.04141166379481	N/A	-1	0.876153225806452	0.0283113627016414	0.247693548387097	-1	1	FALSE	-0.752306451612903	1	0.25	0.0495669984394898	6.99184466535532
0.25	an addict	a father	54	elaborate	1	20	1	paralysis	simpleChoice	k	Right Item	7.10249935577465	N/A	-1	0.855566115702479	0.0217853597292144	0.288867768595041	-1	1	FALSE	-0.711132231404959	1	0.25	-0.00802454209635517	7.110523897871
0.25	a gang member	a mentor	54	elaborate	1	47	1	surgery	simpleChoice	k	Right Item	7.1777824161952	N/A	-1	0.131782786885246	0.0294519664657941	0.263565573770492	-1	1	FALSE	-0.736434426229508	1	0.25	0.110213339280554	7.06756907691464
0.25	an assassin	an olympian	54	elaborate	1	33	1	burntHouse	simpleChoice	k	Right Item	7.23345541862144	N/A	-1	0.116747899159664	0.0286623426086149	0.233495798319328	-1	1	FALSE	-0.766504201680672	1	0.25	0.143645962882673	7.08980945573877
0.25	an addict	a mother	54	elaborate	1	63	1	serviceDog	simpleChoice	k	Right Item	6.69208374250663	N/A	-1	0.880807053941909	0.019885377113363	0.238385892116183	-1	1	FALSE	-0.761614107883817	1	0.25	-0.350153174769364	7.04223691727599
0.25	an assassin	a police officer	54	elaborate	1	26	1	medicalTreatment	simpleChoice	k	Right Item	6.85856503479136	N/A	-1	0.893507518796993	0.026848284411785	0.212984962406015	-1	1	FALSE	-0.787015037593985	1	0.25	-0.242390841549925	7.10095587634129
0.25	a rapist	a congressman	54	elaborate	1	2	1	surgery	simpleChoice	k	Right Item	6.83840520084734	N/A	-1	0.87275	0.028727439533602	0.2545	-1	1	FALSE	-0.7455	1	0.25	-0.300900184399766	7.13930538524711
0.25	an elderly person	a gang member	54	elaborate	1	21	1	bucketList	simpleChoice	d	Left Item	7.07411681619736	N/A	-1	0.1285	0.0308493583192657	0.257	1	1	TRUE	0.743	1	0.25	-0.0348115165949077	7.10892833279227
0.25	an astronaut	an assassin	54	elaborate	1	17	1	bucketList	simpleChoice	d	Left Item	6.87523208727658	N/A	-1	0.10252734375	0.0261639603978014	0.2050546875	1	1	TRUE	0.7949453125	1	0.25	-0.240080654854018	7.11531274213059
0.35	a mother	a congressman	54	elaborate	1	73	1	physicalTherapy	simpleChoice	d	Left Item	6.84161547647759	N/A	-1	0.185957446808511	0.024680902472485	0.371914893617021	1	1	TRUE	0.628085106382979	1	0.35	-0.184834969864208	7.0264504463418
0.35	a celebrity	an assassin	54	elaborate	1	72	1	bucketList	simpleChoice	k	Right Item	6.76503897678054	N/A	-1	0.818628205128205	0.0342154328304168	0.36274358974359	1	0	TRUE	0.63725641025641	0	0.35	-0.262988522871519	7.02802749965206
0.35	a convict	an adult	54	elaborate	1	92	1	hearingAids	simpleChoice	d	Left Item	7.11314210870709	N/A	-1	0.18879296875	0.0333141922622296	0.3775859375	-1	0	FALSE	-0.6224140625	0	0.35	0.116588527993271	6.99655358071382
0.35	an assassin	a celebrity	54	elaborate	1	80	1	surgery	simpleChoice	k	Right Item	7.55851674304564	N/A	-1	0.818628205128205	0.0342154328304168	0.36274358974359	-1	1	FALSE	-0.63725641025641	1	0.35	0.543095765606569	7.01542097743908
0.35	a convict	a teacher	54	elaborate	1	48	1	medicalTreatment	simpleChoice	k	Right Item	6.90274273715859	N/A	-1	0.170899209486166	0.0230602458782128	0.341798418972332	-1	1	FALSE	-0.658201581027668	1	0.35	-0.163240413518738	7.06598315067733
0.35	a mentor	a convict	54	elaborate	1	25	1	serviceDog	simpleChoice	d	Left Item	7.13648320859025	N/A	-1	0.174175572519084	0.0317875935140294	0.348351145038168	1	1	TRUE	0.651648854961832	1	0.35	0.033933556550072	7.10254965204018
0.35	a police officer	a gang member	54	elaborate	1	37	1	legalFees	simpleChoice	d	Left Item	6.97260625130175	N/A	-1	0.153125	0.0313232297015759	0.30625	1	1	TRUE	0.69375	1	0.35	-0.110841678621268	7.08344792992302
