IA1	IB1	averageP	sdp	overlap	direction
a celebrity	a congressman	0.542870192307692	0.0479695109403884	0.914259615384615	1
a celebrity	a convict	0.714077868852459	0.039615953190372	0.571844262295082	1
a celebrity	a father	0.246485232067511	0.0271877432101647	0.492970464135021	-1
a celebrity	a gang member	0.763004464285714	0.037926361449386	0.473991071428571	1
a celebrity	a judge	0.443433628318584	0.0452830392870937	0.886867256637168	-1
a celebrity	a mentor	0.371073913043478	0.044447692351678	0.742147826086957	-1
a celebrity	a mother	0.21578813559322	0.0262432815106397	0.431576271186441	-1
a celebrity	a nun	0.456362068965517	0.046038984328186	0.912724137931034	-1
a celebrity	a pedophile	0.906931623931624	0.0253602619704029	0.186136752136752	1
a celebrity	a police officer	0.375532786885246	0.0424773922437515	0.751065573770492	-1
a celebrity	a rapist	0.891172268907563	0.0272355832867098	0.217655462184874	1
a celebrity	a soldier	0.290021929824561	0.0412457527428163	0.580043859649123	-1
a celebrity	a teacher	0.363962025316456	0.0293324053903926	0.727924050632911	-1
a celebrity	a terrorist	0.886209821428571	0.0287845886559777	0.227580357142857	1
a celebrity	a thief	0.784300884955752	0.0366875917501536	0.431398230088496	1
a celebrity	an addict	0.640104545454545	0.0449686632268288	0.719790909090909	1
a celebrity	an adult	0.386504464285714	0.0448626415839987	0.773008928571429	-1
a celebrity	an assassin	0.818628205128205	0.0342154328304168	0.36274358974359	1
a celebrity	an astronaut	0.412175213675214	0.0449714276746044	0.824350427350427	-1
a celebrity	an elderly person	0.329754545454545	0.0428332058863414	0.659509090909091	-1
a celebrity	an olympian	0.445682242990654	0.0458827668718074	0.891364485981308	-1
a congressman	a convict	0.675	0.0418244426887968	0.65	1
a congressman	a father	0.213938559322034	0.0260923926538143	0.427877118644068	-1
a congressman	a gang member	0.725797297297297	0.0420374210959715	0.548405405405405	1
a congressman	a judge	0.400878378378378	0.0454197580377783	0.801756756756757	-1
a congressman	a mentor	0.327508771929825	0.0406658148151812	0.655017543859649	-1
a congressman	a mother	0.185957446808511	0.024680902472485	0.371914893617021	-1
a congressman	a nun	0.411561403508772	0.0436997912168078	0.823122807017544	-1
a congressman	a pedophile	0.892360869565217	0.027126699114983	0.215278260869565	1
a congressman	a police officer	0.338445833333333	0.0421871625470012	0.676891666666667	-1
a congressman	a rapist	0.87275	0.028727439533602	0.2545	1
a congressman	a soldier	0.258272321428571	0.0402788420922509	0.516544642857143	-1
a congressman	a teacher	0.324102127659574	0.0301868115751312	0.648204255319149	-1
a congressman	a terrorist	0.865063063063063	0.031605220616849	0.269873873873874	1
a congressman	a thief	0.75309009009009	0.039822867265874	0.49381981981982	1
a congressman	an addict	0.594408256880734	0.0451195671356296	0.811183486238532	1
a congressman	an adult	0.343740909090909	0.0436688250868544	0.687481818181818	-1
a congressman	an assassin	0.789064655172414	0.0358355731321318	0.421870689655172	1
a congressman	an astronaut	0.368265217391304	0.0429104232502564	0.736530434782609	-1
a congressman	an elderly person	0.29051376146789	0.040791360904219	0.58102752293578	-1
a congressman	an olympian	0.400316037735849	0.0461693703941909	0.800632075471698	-1
a convict	a father	0.122430830039526	0.0198279717601891	0.244861660079051	-1
a convict	a gang member	0.55037890625	0.0426030854912737	0.8992421875	1
a convict	a judge	0.219437984496124	0.0339910951256931	0.438875968992248	-1
a convict	a mentor	0.174175572519084	0.0317875935140294	0.348351145038168	-1
a convict	a mother	0.104509920634921	0.0180547786630647	0.209019841269841	-1
a convict	a nun	0.227174242424242	0.0346919254151378	0.454348484848485	-1
a convict	a pedophile	0.769706766917293	0.0325765544976973	0.460586466165414	1
a convict	a police officer	0.188992753623188	0.0315803485877791	0.377985507246377	-1
a convict	a rapist	0.749437037037037	0.0360954146086914	0.501125925925926	1
a convict	a soldier	0.141180769230769	0.0304633558327537	0.282361538461538	-1
a convict	a teacher	0.170899209486166	0.0230602458782128	0.341798418972332	-1
a convict	a terrorist	0.725265625	0.0349490036859406	0.54946875	1
a convict	a thief	0.584213178294574	0.0410579625640592	0.831573643410853	1
a convict	an addict	0.405380952380952	0.0429919688162908	0.810761904761905	-1
a convict	an adult	0.18879296875	0.0333141922622296	0.3775859375	-1
a convict	an assassin	0.634537593984962	0.0396820579751176	0.730924812030075	1
a convict	an astronaut	0.193007518796992	0.0335872791813001	0.386015037593985	-1
a convict	an elderly person	0.158849206349206	0.0308855805617304	0.317698412698413	-1
a convict	an olympian	0.210772357723577	0.0380499780740398	0.421544715447155	-1
a father	a gang member	0.899215163934426	0.0186423920196408	0.201569672131148	1
a father	a judge	0.730229508196721	0.0278426761038502	0.539540983606557	1
a father	a mentor	0.664404858299595	0.0284493885973402	0.67119028340081	1
a father	a mother	0.462914402173913	0.0261407583617569	0.925828804347826	-1
a father	a nun	0.740512145748988	0.0267878210493304	0.518975708502024	1
a father	a pedophile	0.967479838709677	0.010670087262182	0.0650403225806451	1
a father	a police officer	0.655899209486166	0.028567857219352	0.688201581027668	1
a father	a rapist	0.961657370517928	0.0116384162759155	0.0766852589641434	1
a father	a soldier	0.564726530612245	0.0319186516740532	0.87054693877551	1
a father	a teacher	0.658853260869565	0.0236128238843631	0.68229347826087	1
a father	a terrorist	0.967223360655738	0.0110526767334029	0.0655532786885247	1
a father	a thief	0.927987704918033	0.0156861284015264	0.144024590163934	1
a father	an addict	0.855566115702479	0.0217853597292144	0.288867768595041	1
a father	an adult	0.673685185185185	0.0292151855230065	0.65262962962963	1
