exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Item2	Group1	Group2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
charityElaborateInOutGroup	100	in-group	1	0	0	680	0	k	W	150	0	legalFees	simpleChoice	a convict	a terrorist	Emerson College alumnus	UNC  Wilmington alumnus	XorY	d	Left Item	5571	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	1	0	680	0	k	W	150	0	hearingAids	simpleChoice	a mentor	a convict	Walsh University alumnus	Regis University alumnus	XorY	d	Left Item	2984	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	2	0	680	0	k	W	150	0	serviceDog	simpleChoice	a nun	an assassin	UNC  Wilmington alumnus	Milligan College alumnus	XorY	d	Left Item	4818	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	3	0	680	0	k	W	150	0	paralysis	simpleChoice	a judge	an assassin	Ursuline College alumnus	UNC  Wilmington alumnus	XorY	d	Left Item	5244	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	4	0	680	0	k	W	150	0	counseling	simpleChoice	a soldier	a mother	Simmons College alumnus	Regis University alumnus	XorY	d	Left Item	2923	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	5	0	680	0	k	W	150	0	medicalTreatment	simpleChoice	a teacher	a soldier	UNC  Wilmington alumnus	UNC  Wilmington alumnus	XorY	k	Right Item	2015	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	6	0	680	0	k	W	150	0	burntHouse	simpleChoice	an addict	an adult	UNC  Wilmington alumnus	UNC  Wilmington alumnus	XorY	k	Right Item	3363	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	7	0	680	0	k	W	150	0	bucketList	simpleChoice	an adult	a teacher	Milligan College alumnus	UNC  Wilmington alumnus	XorY	k	Right Item	2333	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	0	1	680	0	k	W	150	0	surgery	simpleChoice	a terrorist	an Olympian	Lewis University alumnus	Milligan College alumnus	XorY	k	Right Item	6574	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	1	1	680	0	k	W	150	0	surgery	simpleChoice	a gang member	a father	Milligan College alumnus	Bethel College alumnus	XorY	k	Right Item	2440	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	2	1	680	0	k	W	150	0	legalFees	simpleChoice	a convict	a rapist	Ithaca College alumnus	Ithaca College alumnus	XorY	d	Left Item	3335	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	3	1	680	0	k	W	150	0	bucketList	simpleChoice	an adult	a terrorist	Milligan College alumnus	UNC  Wilmington alumnus	XorY	d	Left Item	1532	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	4	1	680	0	k	W	150	0	serviceDog	simpleChoice	a mentor	a convict	Walsh University alumnus	UNC  Wilmington alumnus	XorY	d	Left Item	1330	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	5	1	680	0	k	W	150	0	paralysis	simpleChoice	a gang member	a judge	Elmhurst College alumnus	UNC  Wilmington alumnus	XorY	k	Right Item	1015	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	6	1	680	0	k	W	150	0	serviceDog	simpleChoice	a police officer	a judge	CSU Long Beach alumnus	Marist College alumnus	XorY	d	Left Item	2956	0	0	0	0	N/A	-1	visible
charityElaborateInOutGroup	100	in-group	1	7	1	680	0	k	W	150	0	surgery	simpleChoice	a celebrity	a gang member	Elmhurst College alumnus	Milligan College alumnus	XorY	d	Left Item	2103	0	0	0	0	N/A	-1	visible
