IA1	IB1	averageP	sdp	overlap	direction	DO
a pedophile	refdist	0.0517793893129771	0.00602786653685912	0.103558778625954	-1	-0.896441221374046
a rapist	refdist	0.0757555217060168	0.00720111798682001	0.151511043412033	-1	-0.848488956587967
a terrorist	refdist	0.0859632746748279	0.00762028526490891	0.171926549349656	-1	-0.828073450650344
an assassin	refdist	0.16243173150267	0.00988321654930515	0.324863463005339	-1	-0.67513653699466
a thief	refdist	0.194467889908257	0.010725684522541	0.388935779816514	-1	-0.611064220183486
a gang member	refdist	0.222872324159021	0.0111119839038291	0.445744648318043	-1	-0.554255351681957
a convict	refdist	0.286288534548216	0.0128447325536504	0.572577069096431	-1	-0.427422930903569
an addict	refdist	0.368773353751914	0.0131940687359638	0.737546707503828	-1	-0.262453292496172
a congressman	refdist	0.47259	0.0140744235292855	0.94518	-1	-0.0548199999999999
a celebrity	refdist	0.51892396313364	0.0140277877700488	0.962152073732719	1	0.0378479262672811
a judge	refdist	0.580730886850153	0.0135654062978348	0.838538226299694	1	0.161461773700306
a nun	refdist	0.582284950343774	0.0129916786362995	0.835430099312452	1	0.164569900687548
an olympian	refdist	0.592689708141321	0.0140759073645701	0.814620583717358	1	0.185379416282642
an astronaut	refdist	0.63416641221374	0.0131718475264546	0.731667175572519	1	0.268332824427481
an adult	refdist	0.636736980883322	0.0125860767797101	0.726526038233355	1	0.273473961766645
a police officer	refdist	0.666696808510638	0.0129365971621106	0.666606382978723	1	0.333393617021277
a mentor	refdist	0.670794499618029	0.0130350130850646	0.658411000763942	1	0.341588999236058
an elderly person	refdist	0.678581730769231	0.0124101511824831	0.642836538461538	1	0.357163461538462
a teacher	refdist	0.684620350877193	0.0120327234330738	0.630759298245614	1	0.369240701754386
your cousin	refdist	0.743876567656766	0.0114341332630771	0.512246864686469	1	0.487753135313531
a soldier	refdist	0.764434583014537	0.0125003176363427	0.471130833970926	1	0.528869166029074
a father	refdist	0.807149368863955	0.0104352540981749	0.38570126227209	1	0.61429873772791
your friend	refdist	0.807498240675581	0.010693100527045	0.385003518648839	1	0.614996481351161
your grandfather	refdist	0.836176140350877	0.00997181175327504	0.327647719298246	1	0.672352280701754
a mother	refdist	0.84187298245614	0.00931663713582793	0.316254035087719	1	0.683745964912281
your sibling	refdist	0.845626506024096	0.00936529245180116	0.308746987951807	1	0.691253012048193
your mother	refdist	0.88008623853211	0.00789389219989568	0.23982752293578	1	0.76017247706422
