exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item	Is_are	you_holder	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
charityYou2	100	you	1	0	0	680	0	k	W	300	0	hearingAids	fifty	a nun	is	you	XorY	s	Keep	2860	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	1	0	680	0	k	W	300	0	paralysis	fifty	a judge	is	you	XorY	l	Donate	8896	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	2	0	680	0	k	W	300	0	legalFees	fifty	a rapist	is	you	XorY	l	Donate	4028	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	3	0	680	0	k	W	300	0	serviceDog	fifty	a congressman	is	you	XorY	s	Keep	4538	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	4	0	680	0	k	W	300	0	physicalTherapy	fifty	a mentor	is	you	XorY	s	Keep	4712	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	5	0	680	0	k	W	300	0	burntHouse	fifty	your sibling	is	you	XorY	s	Keep	2842	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	6	0	680	0	k	W	300	0	surgery	fifty	your mother	is	you	XorY	s	Keep	1086	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	7	0	680	0	k	W	300	0	medicalTreatment	fifty	a judge	is	you	XorY	l	Donate	2419	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	0	1	680	0	k	W	150	0	serviceDog	fifty	a celebrity	is	you	XorY	l	Donate	4189	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	1	1	680	0	k	W	150	0	paralysis	fifty	an assassin	is	you	XorY	l	Donate	2394	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	2	1	680	0	k	W	150	0	surgery	fifty	a terrorist	is	you	XorY	l	Donate	2869	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	3	1	680	0	k	W	150	0	serviceDog	fifty	a mother	is	you	XorY	s	Keep	1592	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	4	1	680	0	k	W	150	0	bucketList	fifty	an elderly person	is	you	XorY	s	Keep	1439	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	5	1	680	0	k	W	150	0	hearingAids	fifty	your cousin	is	you	XorY	s	Keep	2018	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	6	1	680	0	k	W	150	0	medicalTreatment	fifty	a celebrity	is	you	XorY	l	Donate	3275	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	7	1	680	0	k	W	150	0	legalFees	fifty	a terrorist	is	you	XorY	l	Donate	2670	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	8	1	680	0	k	W	150	0	physicalTherapy	fifty	a congressman	is	you	XorY	l	Donate	941	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	9	1	680	0	k	W	150	0	medicalTreatment	fifty	a pedophile	is	you	XorY	l	Donate	1981	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	10	1	680	0	k	W	150	0	serviceDog	fifty	an addict	is	you	XorY	l	Donate	1430	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	11	1	680	0	k	W	150	0	burntHouse	fifty	a terrorist	is	you	XorY	l	Donate	1086	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	12	1	680	0	k	W	150	0	serviceDog	fifty	your cousin	is	you	XorY	s	Keep	806	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	13	1	680	0	k	W	150	0	hearingAids	fifty	a judge	is	you	XorY	l	Donate	1804	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	14	1	680	0	k	W	150	0	paralysis	fifty	your mother	is	you	XorY	s	Keep	890	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	15	1	680	0	k	W	150	0	legalFees	fifty	a celebrity	is	you	XorY	l	Donate	675	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	16	1	680	0	k	W	150	0	surgery	fifty	an assassin	is	you	XorY	l	Donate	935	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	17	1	680	0	k	W	150	0	hearingAids	fifty	a gang member	is	you	XorY	l	Donate	1166	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	18	1	680	0	k	W	150	0	medicalTreatment	fifty	a soldier	is	you	XorY	s	Keep	1565	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	19	1	680	0	k	W	150	0	physicalTherapy	fifty	a police officer	is	you	XorY	s	Keep	1131	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	20	1	680	0	k	W	150	0	hearingAids	fifty	an elderly person	is	you	XorY	s	Keep	1083	0	0	0	0	N/A	-1	visible
