IA1	IB1	averageP	sdp	overlap	direction
a celebrity	refdist	0.50600253365004	0.00719381619128108	0.987994932699921	1
an assassin	refdist	0.367938668247382	0.00672254369307674	0.735877336494764	-1
a terrorist	refdist	0.327552303737394	0.00665112446555295	0.655104607474787	-1
a mother	refdist	0.66292645410628	0.0065229140120911	0.67414709178744	1
an elderly person	refdist	0.562901651940069	0.00669626354642416	0.874196696119862	1
your cousin	refdist	0.589204710351377	0.00657212812686533	0.821590579297246	1
a congressman	refdist	0.494689346534653	0.00715400368355136	0.989378693069307	-1
a pedophile	refdist	0.306695889328063	0.00663750613547168	0.613391778656126	-1
an addict	refdist	0.457991772151899	0.00715055059675577	0.915983544303797	-1
a judge	refdist	0.529202846975089	0.00713806856182665	0.941594306049822	1
your mother	refdist	0.697732961931291	0.00620953445456023	0.604534076137419	1
a gang member	refdist	0.411496480822459	0.00700697220112343	0.822992961644919	-1
a soldier	refdist	0.608757919715246	0.00699167138424714	0.782484160569508	1
a police officer	refdist	0.561464587445717	0.00702639736370201	0.877070825108567	1
an astronaut	refdist	0.542436442687747	0.00710998849301408	0.915127114624506	1
a thief	refdist	0.388741162514828	0.00682780823994046	0.777482325029656	-1
a rapist	refdist	0.315630100730792	0.0066031028041955	0.631260201461584	-1
a father	refdist	0.641071870170015	0.00682098795468515	0.717856259659969	1
your friend	refdist	0.630186114871398	0.0066226582931199	0.739627770257204	1
a nun	refdist	0.53347633919747	0.00702255144116227	0.93304732160506	1
your sibling	refdist	0.656644865778112	0.0063748384778872	0.686710268443777	1
your grandfather	refdist	0.655934763285024	0.00661206942741284	0.688130473429952	1
a mentor	refdist	0.557139118402846	0.00687334399834689	0.885721763194307	1
an olympian	refdist	0.530176722090261	0.00702048077577883	0.939646555819478	1
a convict	refdist	0.42827290309848	0.00691048277833977	0.856545806196961	-1
an adult	refdist	0.546385874311752	0.00682639650554195	0.907228251376495	1
a teacher	refdist	0.564126995169082	0.0068942883878059	0.871746009661836	1
